country_eng,import_value_usd,import_value_baht,export_value_usd,export_value_baht,trade_value_usd,trade_balance_usd,year,month,data_type,is_outlier,date,year_month,region,shipping_route,crisis_period,yoy_change_pct,mom_change_pct,dataset,value_usd,value_baht,quantity,quantity_unit,hs_code,hs_description,unit_price_usd
Algeria,38592557.25,1319117800.76,20284560.26,693338986.21,58877117.51,-18307996.99,2019,1,overview,False,2019-01-01,2019-01,Africa,Via Cape of Good Hope,Pre-COVID,,,trade_overview,,,,,,,
Algeria,33498041.82,1098046178.5,22907703.55,750901096.7,56405745.36,-10590338.27,2019,2,overview,False,2019-02-01,2019-02,Africa,Via Cape of Good Hope,Pre-COVID,,-4.19750873432323,trade_overview,,,,,,,
Algeria,36847362.56,1170035484.25,23842191.09,757074798.88,60689553.66,-13005171.47,2019,3,overview,False,2019-03-01,2019-03,Africa,Via Cape of Good Hope,Pre-COVID,,7.594631136703045,trade_overview,,,,,,,
Algeria,37145097.55,1253055017.78,23471940.28,791803884.89,60617037.83,-13673157.27,2019,4,overview,False,2019-04-01,2019-04,Africa,Via Cape of Good Hope,Pre-COVID,,-0.1194865106542875,trade_overview,,,,,,,
Algeria,39764179.02,1340336086.55,23335288.85,786565459.44,63099467.87,-16428890.17,2019,5,overview,False,2019-05-01,2019-05,Africa,Via Cape of Good Hope,Pre-COVID,,4.095267813913894,trade_overview,,,,,,,
Algeria,39022505.28,1190074177.94,24974951.86,761664201.11,63997457.14,-14047553.41,2019,6,overview,False,2019-06-01,2019-06,Africa,Via Cape of Good Hope,Pre-COVID,,1.4231328730855086,trade_overview,,,,,,,
Algeria,43477660.1,1437410030.82,25097720.14,829752903.0,68575380.24,-18379939.96,2019,7,overview,False,2019-07-01,2019-07,Africa,Via Cape of Good Hope,Pre-COVID,,7.153289059572154,trade_overview,,,,,,,
Algeria,46487006.09,1661399788.1,24502431.99,875692773.83,70989438.08,-21984574.11,2019,8,overview,False,2019-08-01,2019-08,Africa,Via Cape of Good Hope,Pre-COVID,,3.520298147164902,trade_overview,,,,,,,
Algeria,43037141.87,1366845831.19,24406236.57,775134250.44,67443378.44,-18630905.31,2019,9,overview,False,2019-09-01,2019-09,Africa,Via Cape of Good Hope,Pre-COVID,,-4.995193279321142,trade_overview,,,,,,,
Algeria,48909535.62,1673297272.9,25842318.96,884119656.67,74751854.58,-23067216.66,2019,10,overview,False,2019-10-01,2019-10,Africa,Via Cape of Good Hope,Pre-COVID,,10.836462094647104,trade_overview,,,,,,,
