ticker,date,open,high,low,close,adj_close,volume
AGG,2023-01-03,100.0,100.19,99.8,100.19,100.19,3656224
AGG,2023-01-04,100.19,100.62,100.04,100.62,100.62,5407611
AGG,2023-01-05,100.62,101.19,100.42,100.42,100.42,3321044
AGG,2023-01-07,100.42,100.92,99.98,99.98,99.98,6987795
AGG,2023-01-08,99.98,100.57,99.84,99.85,99.85,6000102
AGG,2023-01-10,99.85,100.17,99.1,99.1,99.1,7300611
AGG,2023-01-11,99.1,99.12,98.81,98.81,98.81,6090778
AGG,2023-01-12,98.81,98.97,98.26,98.46,98.46,3048854
AGG,2023-01-14,98.46,99.1,98.39,98.54,98.54,3166015
AGG,2023-01-15,98.54,98.59,98.31,98.34,98.34,3663578
AGG,2023-01-17,98.34,98.91,98.16,98.91,98.91,3837412
AGG,2023-01-18,98.91,99.1,98.66,99.1,99.1,6532378
AGG,2023-01-19,99.1,99.3,98.88,99.13,99.13,6570434
AGG,2023-01-21,99.13,99.31,98.79,99.26,99.26,7074125
AGG,2023-01-22,99.26,99.69,98.61,99.69,99.69,5632013
AGG,2023-01-24,99.69,99.8,99.48,99.48,99.48,3301760
AGG,2023-01-25,99.48,99.63,99.29,99.29,99.29,7879326
AGG,2023-01-26,99.29,99.61,99.12,99.43,99.43,6948492
AGG,2023-01-28,99.43,100.1,98.89,99.44,99.44,4142273
AGG,2023-01-29,99.44,99.79,99.26,99.59,99.59,6401141
AGG,2023-01-31,99.59,100.11,99.46,99.52,99.52,6713532
AGG,2023-02-01,99.52,100.1,99.23,99.73,99.73,4855193
AGG,2023-02-02,99.73,100.06,99.2,99.81,99.81,5433344
AGG,2023-02-04,99.81,100.33,99.63,99.68,99.68,5961751
AGG,2023-02-05,99.68,100.16,99.49,100.16,100.16,6579124
AGG,2023-02-07,100.16,100.29,100.07,100.29,100.29,5461389
AGG,2023-02-08,100.29,100.48,100.05,100.48,100.48,4796166
AGG,2023-02-09,100.48,100.84,99.59,99.59,99.59,4955407
AGG,2023-02-11,99.59,99.95,99.19,99.19,99.19,7849105
AGG,2023-02-12,99.19,99.68,99.11,99.31,99.31,3367483
AGG,2023-02-14,99.31,99.72,99.0,99.35,99.35,5154437
AGG,2023-02-15,99.35,99.55,98.91,99.21,99.21,6533886
AGG,2023-02-16,99.21,99.32,99.11,99.11,99.11,7220852
AGG,2023-02-18,99.11,99.77,98.7,99.77,99.77,7341356
AGG,2023-02-19,99.77,99.83,99.7,99.7,99.7,5655847
AGG,2023-02-21,99.7,99.74,99.38,99.7,99.7,7669375
AGG,2023-02-22,99.7,100.33,99.41,99.74,99.74,5273699
AGG,2023-02-23,99.74,100.4,98.81,99.86,99.86,6334321
AGG,2023-02-25,99.86,100.22,99.67,100.22,100.22,7849560
AGG,2023-02-26,100.22,100.31,99.9,99.9,99.9,5218751
AGG,2023-02-28,99.9,99.97,99.62,99.85,99.85,7723071
AGG,2023-03-01,99.85,100.02,99.22,100.02,100.02,6089236
AGG,2023-03-02,100.02,100.35,99.67,100.09,100.09,4078375
AGG,2023-03-04,100.09,100.48,99.58,100.48,100.48,6256164
AGG,2023-03-05,100.48,100.72,100.46,100.59,100.59,7353767
AGG,2023-03-07,100.59,100.7,100.13,100.7,100.7,6692246
AGG,2023-03-08,100.7,101.01,100.33,100.64,100.64,7039229
AGG,2023-03-09,100.64,100.87,100.26,100.26,100.26,5177916
AGG,2023-03-11,100.26,100.3,100.21,100.22,100.22,4622929
AGG,2023-03-12,100.22,100.63,99.71,100.24,100.24,6477336
AGG,2023-03-14,100.24,100.92,99.94,99.94,99.94,4136348
AGG,2023-03-15,99.94,99.99,99.54,99.54,99.54,6341063
AGG,2023-03-16,99.54,100.24,99.23,99.33,99.33,5595408
AGG,2023-03-18,99.33,99.47,99.24,99.24,99.24,4706239
AGG,2023-03-19,99.24,99.76,98.82,98.82,98.82,6039525
AGG,2023-03-21,98.82,99.59,98.64,99.59,99.59,6590615
AGG,2023-03-22,99.59,99.84,99.56,99.84,99.84,3301336
AGG,2023-03-23,99.84,99.9,99.67,99.83,99.83,3507104
AGG,2023-03-25,99.83,99.86,99.31,99.31,99.31,7015129
AGG,2023-03-26,99.31,99.91,98.98,98.98,98.98,6051668
AGG,2023-03-28,98.98,99.27,98.67,98.68,98.68,3905746
AGG,2023-03-29,98.68,98.98,98.51,98.62,98.62,5625816
AGG,2023-03-30,98.62,98.72,98.13,98.45,98.45,7814634
AGG,2023-04-01,98.45,98.88,98.43,98.6,98.6,5751132
AGG,2023-04-02,98.6,98.73,98.56,98.65,98.65,7095944
AGG,2023-04-04,98.65,98.83,98.52,98.83,98.83,4060224
AGG,2023-04-05,98.83,99.37,98.4,98.4,98.4,6902627
AGG,2023-04-06,98.4,98.65,98.2,98.2,98.2,5118691
AGG,2023-04-08,98.2,98.29,97.94,98.0,98.0,5933042
AGG,2023-04-09,98.0,98.68,97.78,98.68,98.68,7313985
AGG,2023-04-11,98.68,98.72,98.63,98.63,98.63,6035470
AGG,2023-04-12,98.63,99.11,98.55,98.6,98.6,4954529
AGG,2023-04-13,98.6,99.4,98.35,98.58,98.58,5140998
AGG,2023-04-15,98.58,99.1,98.24,99.1,99.1,7956279
AGG,2023-04-16,99.1,99.61,98.99,99.29,99.29,3428291
AGG,2023-04-18,99.29,99.64,99.07,99.24,99.24,4774981
AGG,2023-04-19,99.24,99.48,99.17,99.26,99.26,7400395
AGG,2023-04-20,99.26,99.41,98.6,98.79,98.79,4621668
AGG,2023-04-22,98.79,99.18,98.27,99.18,99.18,5326028
AGG,2023-04-23,99.18,99.33,98.97,99.33,99.33,7788126
AGG,2023-04-25,99.33,99.61,99.27,99.51,99.51,3483382
