country_eng,value_usd,value_baht,quantity,quantity_unit,year,month,hs_code,hs_description,data_type
China,112774113.66,3774846903.47,78934.33,KGM,2019,1,10,Cereals (Rice),export
Nigeria,49445927.06,1643031485.0,33788.62,KGM,2019,1,10,Cereals (Rice),export
Indonesia,37424599.36,1273010915.28,28331.31,KGM,2019,1,10,Cereals (Rice),export
South Africa,27338474.15,927848903.73,27219.4,KGM,2019,1,10,Cereals (Rice),export
Iraq,23262293.92,773521337.92,24717.23,KGM,2019,1,10,Cereals (Rice),export
United States of America,20409515.46,688658019.29,19932.82,KGM,2019,1,10,Cereals (Rice),export
Japan,15084740.54,504111604.27,13741.5,KGM,2019,1,10,Cereals (Rice),export
Saudi Arabia,11499302.21,382201951.63,11853.11,KGM,2019,1,10,Cereals (Rice),export
Philippines,11637790.72,384177387.5,10902.96,KGM,2019,1,10,Cereals (Rice),export
Malaysia,9689576.48,331933696.6,9771.06,KGM,2019,1,10,Cereals (Rice),export
Hong Kong,14241718.94,485491595.31,11453.73,KGM,2019,1,10,Cereals (Rice),export
Singapore,8623416.43,290871327.39,5408.77,KGM,2019,1,10,Cereals (Rice),export
Cameroon,6736943.16,237051511.17,5592.22,KGM,2019,1,10,Cereals (Rice),export
Mozambique,6511574.21,219860053.26,5281.1,KGM,2019,1,10,Cereals (Rice),export
Senegal,6163129.25,202825823.84,4175.64,KGM,2019,1,10,Cereals (Rice),export
Iran,18399612.97,615169585.6,15145.43,KGM,2019,1,10,Cereals (Rice),export
India,9230790.23,318186607.97,5038.86,KGM,2019,1,10,Cereals (Rice),export
Yemen,6560913.81,210110160.72,4970.87,KGM,2019,1,10,Cereals (Rice),export
China,123937097.82,3962901090.88,62641.77,KGM,2019,2,10,Cereals (Rice),export
Nigeria,47479649.34,1680527791.89,32489.94,KGM,2019,2,10,Cereals (Rice),export
Indonesia,30062358.2,968084374.81,24552.19,KGM,2019,2,10,Cereals (Rice),export
South Africa,29515964.62,952314921.97,22062.77,KGM,2019,2,10,Cereals (Rice),export
Iraq,28313066.15,916732640.44,23435.33,KGM,2019,2,10,Cereals (Rice),export
United States of America,17616743.41,587675801.34,12598.73,KGM,2019,2,10,Cereals (Rice),export
Japan,18869921.41,620700361.06,14273.76,KGM,2019,2,10,Cereals (Rice),export
Saudi Arabia,13026897.96,462679957.3,12224.11,KGM,2019,2,10,Cereals (Rice),export
Philippines,9923480.96,313031021.67,10105.14,KGM,2019,2,10,Cereals (Rice),export
Malaysia,9041379.88,303514685.86,7347.42,KGM,2019,2,10,Cereals (Rice),export
Hong Kong,14740363.11,486626147.53,13319.32,KGM,2019,2,10,Cereals (Rice),export
Singapore,7005511.61,216613441.24,6605.65,KGM,2019,2,10,Cereals (Rice),export
Cameroon,6228519.58,207355335.51,6061.45,KGM,2019,2,10,Cereals (Rice),export
Mozambique,6749573.07,230739516.79,4881.21,KGM,2019,2,10,Cereals (Rice),export
Senegal,5432405.02,182077693.26,5140.81,KGM,2019,2,10,Cereals (Rice),export
Iran,17341776.38,571814015.96,14527.22,KGM,2019,2,10,Cereals (Rice),export
India,8213908.78,271039120.28,5833.56,KGM,2019,2,10,Cereals (Rice),export
Yemen,5531521.85,188413978.12,4992.03,KGM,2019,2,10,Cereals (Rice),export
China,115498130.64,3655174860.3,81825.69,KGM,2019,3,10,Cereals (Rice),export
Nigeria,46625227.94,1521135708.38,44151.11,KGM,2019,3,10,Cereals (Rice),export
Indonesia,37231594.04,1313169943.9,24975.93,KGM,2019,3,10,Cereals (Rice),export
South Africa,33468589.13,1152742954.68,27753.2,KGM,2019,3,10,Cereals (Rice),export
Iraq,27251893.32,960163311.69,22391.68,KGM,2019,3,10,Cereals (Rice),export
United States of America,24176504.61,829394962.34,20339.56,KGM,2019,3,10,Cereals (Rice),export
Japan,21064134.93,694045851.89,15589.81,KGM,2019,3,10,Cereals (Rice),export
Saudi Arabia,17064597.36,593034841.27,13846.19,KGM,2019,3,10,Cereals (Rice),export
Philippines,15035313.2,486101447.99,12216.16,KGM,2019,3,10,Cereals (Rice),export
Malaysia,11184884.96,359467912.64,10389.92,KGM,2019,3,10,Cereals (Rice),export
Hong Kong,15800556.75,550346907.84,14762.78,KGM,2019,3,10,Cereals (Rice),export
Singapore,9786699.39,321149871.39,7329.92,KGM,2019,3,10,Cereals (Rice),export
Cameroon,8603564.28,276712793.5,6305.59,KGM,2019,3,10,Cereals (Rice),export
Mozambique,7991239.51,256791419.67,5824.21,KGM,2019,3,10,Cereals (Rice),export
Senegal,6636662.12,208978471.46,5657.17,KGM,2019,3,10,Cereals (Rice),export
Iran,19394934.96,653190974.03,15364.63,KGM,2019,3,10,Cereals (Rice),export
India,8417006.59,258914472.71,5914.21,KGM,2019,3,10,Cereals (Rice),export
Yemen,6986805.88,233406661.07,4385.74,KGM,2019,3,10,Cereals (Rice),export
China,120883233.99,4288556475.55,99910.34,KGM,2019,4,10,Cereals (Rice),export
Nigeria,63887579.91,2202579211.6,31516.31,KGM,2019,4,10,Cereals (Rice),export
Indonesia,40195321.59,1384161858.43,36774.26,KGM,2019,4,10,Cereals (Rice),export
South Africa,37271833.04,1180236270.88,27026.98,KGM,2019,4,10,Cereals (Rice),export
Iraq,31234864.79,1019794446.21,23190.45,KGM,2019,4,10,Cereals (Rice),export
United States of America,23333251.49,826115034.63,21966.9,KGM,2019,4,10,Cereals (Rice),export
Japan,17976155.19,583171986.6,17552.36,KGM,2019,4,10,Cereals (Rice),export
Saudi Arabia,13936788.42,442497120.29,13298.27,KGM,2019,4,10,Cereals (Rice),export
Philippines,12380702.76,389476345.85,10656.81,KGM,2019,4,10,Cereals (Rice),export
Malaysia,11457808.6,371316524.36,8240.76,KGM,2019,4,10,Cereals (Rice),export
Hong Kong,15168359.76,514060391.31,13655.63,KGM,2019,4,10,Cereals (Rice),export
Singapore,10054945.61,327855162.17,7618.49,KGM,2019,4,10,Cereals (Rice),export
Cameroon,7483055.43,254838489.2,5895.95,KGM,2019,4,10,Cereals (Rice),export
Mozambique,6056618.59,196929175.28,5823.04,KGM,2019,4,10,Cereals (Rice),export
Senegal,6924766.31,228646927.06,4332.9,KGM,2019,4,10,Cereals (Rice),export
Iran,21116926.36,662828812.96,12600.06,KGM,2019,4,10,Cereals (Rice),export
India,8091704.96,269241359.5,6936.42,KGM,2019,4,10,Cereals (Rice),export
Yemen,6899496.78,211241026.81,4549.68,KGM,2019,4,10,Cereals (Rice),export
China,126056322.57,3996239619.48,85247.76,KGM,2019,5,10,Cereals (Rice),export
Nigeria,54661391.77,1757242541.67,40907.68,KGM,2019,5,10,Cereals (Rice),export
Indonesia,38758202.06,1291344086.65,35817.02,KGM,2019,5,10,Cereals (Rice),export
South Africa,29284811.19,1049061086.4,20433.63,KGM,2019,5,10,Cereals (Rice),export
Iraq,25601102.26,902849480.93,24810.88,KGM,2019,5,10,Cereals (Rice),export
United States of America,25368993.92,782910655.22,18558.95,KGM,2019,5,10,Cereals (Rice),export
Japan,17833311.38,627312844.49,17420.06,KGM,2019,5,10,Cereals (Rice),export
Saudi Arabia,16007568.17,544997213.85,12444.18,KGM,2019,5,10,Cereals (Rice),export
Philippines,13971079.12,461921627.98,12395.26,KGM,2019,5,10,Cereals (Rice),export
Malaysia,11988164.93,427314880.1,9981.35,KGM,2019,5,10,Cereals (Rice),export
Hong Kong,17674221.57,558893500.39,15081.33,KGM,2019,5,10,Cereals (Rice),export
Singapore,11095936.15,341206759.07,8613.46,KGM,2019,5,10,Cereals (Rice),export
Cameroon,8783158.94,269478686.09,6256.05,KGM,2019,5,10,Cereals (Rice),export
Mozambique,7597331.8,252439674.58,6388.11,KGM,2019,5,10,Cereals (Rice),export
Senegal,6593907.61,241995631.3,5121.76,KGM,2019,5,10,Cereals (Rice),export
Iran,18369647.11,606623326.34,18412.51,KGM,2019,5,10,Cereals (Rice),export
India,7621277.91,235578280.96,6627.95,KGM,2019,5,10,Cereals (Rice),export
Yemen,6269673.06,192311715.79,5303.3,KGM,2019,5,10,Cereals (Rice),export
China,133956377.37,4128859532.35,90203.56,KGM,2019,6,10,Cereals (Rice),export
Nigeria,45489869.55,1366192875.41,51453.47,KGM,2019,6,10,Cereals (Rice),export
Indonesia,44353523.13,1440372136.27,30933.32,KGM,2019,6,10,Cereals (Rice),export
South Africa,36053365.16,1152948955.36,29010.93,KGM,2019,6,10,Cereals (Rice),export
Iraq,25710473.58,869748446.99,25576.83,KGM,2019,6,10,Cereals (Rice),export
United States of America,24773327.75,800952796.05,21481.88,KGM,2019,6,10,Cereals (Rice),export
Japan,19492545.17,658429894.48,17008.08,KGM,2019,6,10,Cereals (Rice),export
Saudi Arabia,17525725.46,558354395.34,14430.95,KGM,2019,6,10,Cereals (Rice),export
Philippines,17720278.12,581608350.36,11737.11,KGM,2019,6,10,Cereals (Rice),export
Malaysia,11068713.72,374104333.33,9962.72,KGM,2019,6,10,Cereals (Rice),export
Hong Kong,18296268.04,618054381.02,16149.09,KGM,2019,6,10,Cereals (Rice),export
Singapore,10482451.46,335515905.61,7722.99,KGM,2019,6,10,Cereals (Rice),export
Cameroon,9324711.24,292651222.18,7576.07,KGM,2019,6,10,Cereals (Rice),export
Mozambique,8203168.35,256999412.97,6597.64,KGM,2019,6,10,Cereals (Rice),export
Senegal,7167510.63,210409875.96,4754.86,KGM,2019,6,10,Cereals (Rice),export
Iran,20909782.37,686413660.01,17525.94,KGM,2019,6,10,Cereals (Rice),export
India,10937040.79,363336290.34,7109.14,KGM,2019,6,10,Cereals (Rice),export
Yemen,7092122.09,243927997.32,5151.91,KGM,2019,6,10,Cereals (Rice),export
China,129512524.33,4152666224.48,103782.06,KGM,2019,7,10,Cereals (Rice),export
Nigeria,42178348.37,1409767040.01,37593.35,KGM,2019,7,10,Cereals (Rice),export
Indonesia,39813752.17,1299977024.27,34500.24,KGM,2019,7,10,Cereals (Rice),export
South Africa,34768598.28,1157423516.31,23540.83,KGM,2019,7,10,Cereals (Rice),export
Iraq,27297217.07,894045791.49,19026.14,KGM,2019,7,10,Cereals (Rice),export
United States of America,28840793.93,956911250.78,16499.42,KGM,2019,7,10,Cereals (Rice),export
Japan,22494952.22,725700667.27,21266.73,KGM,2019,7,10,Cereals (Rice),export
Saudi Arabia,15613332.33,541950857.58,11466.63,KGM,2019,7,10,Cereals (Rice),export
Philippines,13698878.51,414070427.68,11466.34,KGM,2019,7,10,Cereals (Rice),export
Malaysia,13604964.8,466223948.47,11389.91,KGM,2019,7,10,Cereals (Rice),export
Hong Kong,13991124.53,426603300.05,14304.77,KGM,2019,7,10,Cereals (Rice),export
Singapore,10058040.3,336595082.93,8196.87,KGM,2019,7,10,Cereals (Rice),export
Cameroon,8778863.78,263860652.6,6660.24,KGM,2019,7,10,Cereals (Rice),export
Mozambique,7901340.76,250046385.15,6070.28,KGM,2019,7,10,Cereals (Rice),export
Senegal,5620401.72,195853862.23,6318.95,KGM,2019,7,10,Cereals (Rice),export
Iran,22304077.93,651825674.33,15314.07,KGM,2019,7,10,Cereals (Rice),export
India,8970565.98,290987277.88,6960.02,KGM,2019,7,10,Cereals (Rice),export
Yemen,7416537.54,246704766.95,5876.05,KGM,2019,7,10,Cereals (Rice),export
China,129201377.13,4395419197.2,103629.96,KGM,2019,8,10,Cereals (Rice),export
Nigeria,47083996.82,1488754243.26,43306.06,KGM,2019,8,10,Cereals (Rice),export
Indonesia,48652715.95,1555313365.02,36525.7,KGM,2019,8,10,Cereals (Rice),export
South Africa,34610045.66,1220217627.85,24652.59,KGM,2019,8,10,Cereals (Rice),export
Iraq,34917056.6,1233793666.14,26041.24,KGM,2019,8,10,Cereals (Rice),export
United States of America,26140874.57,910671915.92,22487.4,KGM,2019,8,10,Cereals (Rice),export
Japan,21446008.53,737753092.81,17313.14,KGM,2019,8,10,Cereals (Rice),export
Saudi Arabia,18276488.17,543172768.04,12488.33,KGM,2019,8,10,Cereals (Rice),export
Philippines,15178809.14,478337007.22,9249.86,KGM,2019,8,10,Cereals (Rice),export
Malaysia,11749355.54,402188162.09,9597.16,KGM,2019,8,10,Cereals (Rice),export
Hong Kong,18948016.54,643261674.95,14571.74,KGM,2019,8,10,Cereals (Rice),export
Singapore,10975804.07,362369425.95,5771.13,KGM,2019,8,10,Cereals (Rice),export
Cameroon,7041372.93,210257774.15,7286.2,KGM,2019,8,10,Cereals (Rice),export
Mozambique,7585611.23,237606854.77,6586.23,KGM,2019,8,10,Cereals (Rice),export
Senegal,7527044.96,252692210.58,5827.3,KGM,2019,8,10,Cereals (Rice),export
Iran,22956128.41,762783440.83,16426.71,KGM,2019,8,10,Cereals (Rice),export
India,8591960.93,274873613.65,6856.33,KGM,2019,8,10,Cereals (Rice),export
Yemen,6013461.28,194908776.93,5271.28,KGM,2019,8,10,Cereals (Rice),export
China,121580405.79,3798377356.63,115735.88,KGM,2019,9,10,Cereals (Rice),export
Nigeria,51599576.92,1773152073.16,47878.35,KGM,2019,9,10,Cereals (Rice),export
Indonesia,49071285.75,1677081469.75,32518.72,KGM,2019,9,10,Cereals (Rice),export
South Africa,31279603.61,1023699044.58,27073.06,KGM,2019,9,10,Cereals (Rice),export
Iraq,28861489.35,931069802.44,23436.27,KGM,2019,9,10,Cereals (Rice),export
United States of America,23671216.25,774671915.91,23158.16,KGM,2019,9,10,Cereals (Rice),export
Japan,22315642.44,738248083.52,17843.93,KGM,2019,9,10,Cereals (Rice),export
Saudi Arabia,17662407.96,620437918.74,13486.9,KGM,2019,9,10,Cereals (Rice),export
Philippines,16948173.0,547924575.1,12627.79,KGM,2019,9,10,Cereals (Rice),export
Malaysia,12969047.64,457157764.03,11026.2,KGM,2019,9,10,Cereals (Rice),export
Hong Kong,15097166.8,523722006.31,15108.42,KGM,2019,9,10,Cereals (Rice),export
Singapore,8938945.61,280711702.63,8217.4,KGM,2019,9,10,Cereals (Rice),export
Cameroon,9126713.41,299399929.59,6698.99,KGM,2019,9,10,Cereals (Rice),export
Mozambique,7551293.55,251786929.89,6844.44,KGM,2019,9,10,Cereals (Rice),export
Senegal,7161648.73,242484376.13,5707.94,KGM,2019,9,10,Cereals (Rice),export
Iran,21301936.57,663508627.53,21071.63,KGM,2019,9,10,Cereals (Rice),export
India,7239821.36,216330335.09,5480.71,KGM,2019,9,10,Cereals (Rice),export
Yemen,7471218.87,260085566.5,5970.52,KGM,2019,9,10,Cereals (Rice),export
China,120735384.1,3994558687.8,117661.18,KGM,2019,10,10,Cereals (Rice),export
Nigeria,54899567.1,1749406403.05,46443.23,KGM,2019,10,10,Cereals (Rice),export
Indonesia,56642621.11,1824030668.27,41753.72,KGM,2019,10,10,Cereals (Rice),export
South Africa,32073342.99,1067188775.1,28496.2,KGM,2019,10,10,Cereals (Rice),export
Iraq,34856688.07,1165197400.24,21665.79,KGM,2019,10,10,Cereals (Rice),export
