country_eng,value_usd,value_baht,quantity,quantity_unit,year,month,hs_code,hs_description,data_type
Saudi Arabia,604616321.43,20474934540.43,542323.92,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
United Arab Emirates,329689014.33,11033666817.43,232682.11,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Kuwait,277832104.06,8640198762.96,207061.03,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Qatar,260798371.1,8446474623.34,242483.25,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Oman,155323964.56,4825282923.69,115893.42,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Iran,94466339.82,3120453697.11,61152.04,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Iraq,177072125.72,5562326580.56,162384.83,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Bahrain,38099856.33,1228085706.11,26377.25,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Russian Federation,70012797.5,2368241363.98,110092.56,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Malaysia,81247342.12,2620757074.39,60898.91,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Indonesia,62872359.94,2061435258.08,36277.11,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Australia,129477060.6,4288355027.51,76025.53,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
India,53694563.19,1782062721.98,37870.21,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
United States of America,30819466.93,1077123323.97,22337.83,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Nigeria,21121473.95,684611292.86,13462.21,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Angola,13248789.36,432061223.57,11337.41,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Brazil,20528609.2,685550815.05,15890.38,KGM,2019,1,27,"Mineral Fuels (Oil, Gas, Coal)",import
Saudi Arabia,566499760.02,16841039207.74,395731.46,KGM,2019,2,27,"Mineral Fuels (Oil, Gas, Coal)",import
United Arab Emirates,358174417.07,11761552125.1,310351.13,KGM,2019,2,27,"Mineral Fuels (Oil, Gas, Coal)",import
Kuwait,268179127.52,8816389272.91,239301.13,KGM,2019,2,27,"Mineral Fuels (Oil, Gas, Coal)",import
Qatar,289709074.76,9977366754.2,227672.27,KGM,2019,2,27,"Mineral Fuels (Oil, Gas, Coal)",import
Oman,152401233.28,5180802285.17,95787.06,KGM,2019,2,27,"Mineral Fuels (Oil, Gas, Coal)",import
