country_eng,value_usd,value_baht,quantity,quantity_unit,year,month,hs_code,hs_description,data_type
Saudi Arabia,61168024.54,2083312040.02,53645.1,KGM,2019,1,31,Fertilizers,import
Qatar,32068300.71,1013222792.37,23950.8,KGM,2019,1,31,Fertilizers,import
Oman,20218782.19,695812113.85,18275.6,KGM,2019,1,31,Fertilizers,import
China,56258012.42,1757744825.84,39347.22,KGM,2019,1,31,Fertilizers,import
Russian Federation,33853333.9,1106273348.6,37353.71,KGM,2019,1,31,Fertilizers,import
Canada,22104532.2,781343380.41,15571.6,KGM,2019,1,31,Fertilizers,import
Japan,15400488.7,485258034.53,10642.69,KGM,2019,1,31,Fertilizers,import
Malaysia,18896540.57,647171845.44,14744.47,KGM,2019,1,31,Fertilizers,import
Indonesia,15468887.09,497855265.88,11360.95,KGM,2019,1,31,Fertilizers,import
India,10824063.64,355080232.92,8218.48,KGM,2019,1,31,Fertilizers,import
Germany,7345390.01,249346754.81,5234.52,KGM,2019,1,31,Fertilizers,import
United States of America,10592529.51,343966855.87,7910.97,KGM,2019,1,31,Fertilizers,import
Belarus,7510989.31,252618434.37,5925.13,KGM,2019,1,31,Fertilizers,import
Morocco,9590544.59,320594923.13,8142.41,KGM,2019,1,31,Fertilizers,import
Israel,11788388.85,371257888.55,10218.98,KGM,2019,1,31,Fertilizers,import
Jordan,12866539.48,437146684.92,10898.7,KGM,2019,1,31,Fertilizers,import
Vietnam,6370295.85,213717589.91,4834.66,KGM,2019,1,31,Fertilizers,import
Saudi Arabia,47614426.1,1508342665.12,44931.14,KGM,2019,2,31,Fertilizers,import
Qatar,29130510.19,1046374711.78,22504.53,KGM,2019,2,31,Fertilizers,import
Oman,23197833.84,756239882.91,17580.4,KGM,2019,2,31,Fertilizers,import
China,49623091.2,1662250040.46,33877.79,KGM,2019,2,31,Fertilizers,import
Russian Federation,35566300.68,1175635509.44,26959.21,KGM,2019,2,31,Fertilizers,import
Canada,17080820.44,572625039.35,13842.68,KGM,2019,2,31,Fertilizers,import
Japan,16388282.89,523104922.66,11806.91,KGM,2019,2,31,Fertilizers,import
Malaysia,15153279.81,487165933.5,15500.36,KGM,2019,2,31,Fertilizers,import
Indonesia,15077916.84,508388916.13,11863.55,KGM,2019,2,31,Fertilizers,import
India,10660701.81,349892958.24,8891.32,KGM,2019,2,31,Fertilizers,import
Germany,6633324.54,195168903.68,5011.49,KGM,2019,2,31,Fertilizers,import
