country_eng,value_usd,value_baht,quantity,quantity_unit,year,month,hs_code,hs_description,data_type
United States of America,484930089.72,17295851785.37,392727.11,KGM,2019,1,85,Electrical Machinery & Electronics,export
China,309775220.04,10364249557.53,210890.72,KGM,2019,1,85,Electrical Machinery & Electronics,export
Japan,263112561.08,8338012063.85,225419.43,KGM,2019,1,85,Electrical Machinery & Electronics,export
Hong Kong,247859063.63,8491420733.56,176110.61,KGM,2019,1,85,Electrical Machinery & Electronics,export
Singapore,151208539.65,5042923437.98,119059.41,KGM,2019,1,85,Electrical Machinery & Electronics,export
Vietnam,117391912.13,3518697417.11,108683.39,KGM,2019,1,85,Electrical Machinery & Electronics,export
Malaysia,92752025.95,3036176366.99,70771.44,KGM,2019,1,85,Electrical Machinery & Electronics,export
Germany,56002626.36,1837588644.18,62751.33,KGM,2019,1,85,Electrical Machinery & Electronics,export
India,53771352.99,1750839058.36,47172.58,KGM,2019,1,85,Electrical Machinery & Electronics,export
"Korea, Republic of",54500205.1,1845927957.73,53358.74,KGM,2019,1,85,Electrical Machinery & Electronics,export
Indonesia,48513935.14,1608827265.54,42356.39,KGM,2019,1,85,Electrical Machinery & Electronics,export
Netherlands,48600165.78,1662205265.0,34762.0,KGM,2019,1,85,Electrical Machinery & Electronics,export
Philippines,35517706.56,1148810898.97,36258.31,KGM,2019,1,85,Electrical Machinery & Electronics,export
United Kingdom,30739502.89,980835186.49,26081.64,KGM,2019,1,85,Electrical Machinery & Electronics,export
Australia,25670607.79,729199976.29,25515.59,KGM,2019,1,85,Electrical Machinery & Electronics,export
Taiwan,34035711.03,1130436718.86,24610.32,KGM,2019,1,85,Electrical Machinery & Electronics,export
Mexico,20047936.45,681311776.51,21883.24,KGM,2019,1,85,Electrical Machinery & Electronics,export
United States of America,355613733.08,12010529844.17,347776.59,KGM,2019,2,85,Electrical Machinery & Electronics,export
China,309975177.28,9480779273.1,186711.79,KGM,2019,2,85,Electrical Machinery & Electronics,export
Japan,285169845.29,9185005243.99,178772.36,KGM,2019,2,85,Electrical Machinery & Electronics,export
Hong Kong,225953258.63,7366353222.99,146148.3,KGM,2019,2,85,Electrical Machinery & Electronics,export
Singapore,154299710.81,4976164671.71,94006.34,KGM,2019,2,85,Electrical Machinery & Electronics,export
Vietnam,94278561.54,3278864394.68,77105.86,KGM,2019,2,85,Electrical Machinery & Electronics,export
Malaysia,96943040.89,3276511387.15,70103.93,KGM,2019,2,85,Electrical Machinery & Electronics,export
Germany,74409388.88,2482090783.38,52094.78,KGM,2019,2,85,Electrical Machinery & Electronics,export
India,49326585.79,1621354895.16,40118.72,KGM,2019,2,85,Electrical Machinery & Electronics,export
"Korea, Republic of",56986309.92,1819695581.88,43210.91,KGM,2019,2,85,Electrical Machinery & Electronics,export
Indonesia,55267238.05,1821119601.64,47078.65,KGM,2019,2,85,Electrical Machinery & Electronics,export
Netherlands,44974345.43,1344801730.55,31700.94,KGM,2019,2,85,Electrical Machinery & Electronics,export
Philippines,32252107.88,1071139394.81,27284.96,KGM,2019,2,85,Electrical Machinery & Electronics,export
United Kingdom,31553138.67,1014056362.35,24638.16,KGM,2019,2,85,Electrical Machinery & Electronics,export
Australia,29307610.54,1002410960.29,18956.88,KGM,2019,2,85,Electrical Machinery & Electronics,export
Taiwan,33340007.27,1084451306.29,35361.47,KGM,2019,2,85,Electrical Machinery & Electronics,export
Mexico,23601231.02,762194583.02,18494.14,KGM,2019,2,85,Electrical Machinery & Electronics,export
United States of America,503843332.78,17372831756.03,378072.21,KGM,2019,3,85,Electrical Machinery & Electronics,export
China,331373346.45,11120701122.34,254290.7,KGM,2019,3,85,Electrical Machinery & Electronics,export
Japan,310232111.69,10368216368.65,239134.78,KGM,2019,3,85,Electrical Machinery & Electronics,export
Hong Kong,247540135.68,9123721511.8,163718.79,KGM,2019,3,85,Electrical Machinery & Electronics,export
Singapore,166695323.91,5493771358.65,136210.97,KGM,2019,3,85,Electrical Machinery & Electronics,export
Vietnam,91466378.77,3028810413.64,91975.08,KGM,2019,3,85,Electrical Machinery & Electronics,export
Malaysia,87183040.69,2832674816.35,68416.23,KGM,2019,3,85,Electrical Machinery & Electronics,export
Germany,85274603.34,2835930107.63,72877.07,KGM,2019,3,85,Electrical Machinery & Electronics,export
India,59739934.74,1980337078.49,48463.37,KGM,2019,3,85,Electrical Machinery & Electronics,export
"Korea, Republic of",72803464.64,2354533950.33,59975.12,KGM,2019,3,85,Electrical Machinery & Electronics,export
Indonesia,58349821.69,1890963728.01,46728.6,KGM,2019,3,85,Electrical Machinery & Electronics,export
Netherlands,39332417.64,1390455753.36,33964.69,KGM,2019,3,85,Electrical Machinery & Electronics,export
Philippines,32879612.44,999774605.55,36673.25,KGM,2019,3,85,Electrical Machinery & Electronics,export
United Kingdom,32870652.32,1172609723.87,27218.46,KGM,2019,3,85,Electrical Machinery & Electronics,export
Australia,31749414.7,1003185651.44,24682.76,KGM,2019,3,85,Electrical Machinery & Electronics,export
Taiwan,41649428.75,1360124326.72,29718.34,KGM,2019,3,85,Electrical Machinery & Electronics,export
Mexico,26715392.73,912135140.41,24081.5,KGM,2019,3,85,Electrical Machinery & Electronics,export
United States of America,446370964.18,14244225105.07,362493.78,KGM,2019,4,85,Electrical Machinery & Electronics,export
China,332656166.57,11075786396.91,289767.28,KGM,2019,4,85,Electrical Machinery & Electronics,export
Japan,223217320.07,6914494372.69,249514.29,KGM,2019,4,85,Electrical Machinery & Electronics,export
Hong Kong,227476610.43,7478105038.62,200667.11,KGM,2019,4,85,Electrical Machinery & Electronics,export
Singapore,177588008.28,5602915748.46,121090.07,KGM,2019,4,85,Electrical Machinery & Electronics,export
Vietnam,118682376.62,4028615037.63,109489.75,KGM,2019,4,85,Electrical Machinery & Electronics,export
Malaysia,98854050.48,3431944180.99,90874.66,KGM,2019,4,85,Electrical Machinery & Electronics,export
Germany,88105938.26,3011007978.04,56097.94,KGM,2019,4,85,Electrical Machinery & Electronics,export
India,64011259.46,2046835093.08,49789.58,KGM,2019,4,85,Electrical Machinery & Electronics,export
"Korea, Republic of",72237883.26,2402244184.38,54384.68,KGM,2019,4,85,Electrical Machinery & Electronics,export
Indonesia,56178008.26,1900496812.22,46943.65,KGM,2019,4,85,Electrical Machinery & Electronics,export
Netherlands,47557610.66,1426271579.03,35731.77,KGM,2019,4,85,Electrical Machinery & Electronics,export
Philippines,43980169.34,1439723187.74,32975.43,KGM,2019,4,85,Electrical Machinery & Electronics,export
United Kingdom,41056792.71,1358337695.66,24854.1,KGM,2019,4,85,Electrical Machinery & Electronics,export
Australia,29517408.44,875509596.48,28190.57,KGM,2019,4,85,Electrical Machinery & Electronics,export
Taiwan,44116397.29,1394761135.75,35656.29,KGM,2019,4,85,Electrical Machinery & Electronics,export
Mexico,28772954.34,967962313.21,20392.89,KGM,2019,4,85,Electrical Machinery & Electronics,export
United States of America,541011455.39,16801044210.54,351760.98,KGM,2019,5,85,Electrical Machinery & Electronics,export
China,369881238.36,12480410900.17,328784.13,KGM,2019,5,85,Electrical Machinery & Electronics,export
Japan,308246210.08,10255364358.46,224036.2,KGM,2019,5,85,Electrical Machinery & Electronics,export
Hong Kong,258768032.13,9063296186.72,195618.25,KGM,2019,5,85,Electrical Machinery & Electronics,export
Singapore,169612412.6,5556003200.24,138222.93,KGM,2019,5,85,Electrical Machinery & Electronics,export
Vietnam,124245759.06,4127302357.25,114624.52,KGM,2019,5,85,Electrical Machinery & Electronics,export
Malaysia,101692950.53,3300264819.0,81749.14,KGM,2019,5,85,Electrical Machinery & Electronics,export
Germany,71600499.87,2477552073.58,79247.26,KGM,2019,5,85,Electrical Machinery & Electronics,export
India,74993624.35,2637329313.69,46469.21,KGM,2019,5,85,Electrical Machinery & Electronics,export
"Korea, Republic of",89751530.9,3183642396.06,67522.72,KGM,2019,5,85,Electrical Machinery & Electronics,export
Indonesia,62987450.21,2126547512.84,41925.66,KGM,2019,5,85,Electrical Machinery & Electronics,export
Netherlands,44898286.5,1502944128.48,37132.6,KGM,2019,5,85,Electrical Machinery & Electronics,export
Philippines,42425076.96,1285983269.52,35185.63,KGM,2019,5,85,Electrical Machinery & Electronics,export
United Kingdom,36921607.7,1259859792.82,31976.39,KGM,2019,5,85,Electrical Machinery & Electronics,export
Australia,36045909.94,1169010808.53,27470.69,KGM,2019,5,85,Electrical Machinery & Electronics,export
Taiwan,43756128.69,1503092355.54,32134.48,KGM,2019,5,85,Electrical Machinery & Electronics,export
Mexico,30412981.53,968547239.03,23160.51,KGM,2019,5,85,Electrical Machinery & Electronics,export
United States of America,567093247.47,20502947021.26,435371.06,KGM,2019,6,85,Electrical Machinery & Electronics,export
China,357891454.98,11023807231.79,291907.69,KGM,2019,6,85,Electrical Machinery & Electronics,export
Japan,306736910.29,10502563969.67,228959.95,KGM,2019,6,85,Electrical Machinery & Electronics,export
Hong Kong,263534453.3,9539655390.12,228119.49,KGM,2019,6,85,Electrical Machinery & Electronics,export
Singapore,156427840.81,5322518251.25,151450.25,KGM,2019,6,85,Electrical Machinery & Electronics,export
Vietnam,152736008.55,5178073816.79,110633.91,KGM,2019,6,85,Electrical Machinery & Electronics,export
Malaysia,110684822.96,3894064211.79,90621.04,KGM,2019,6,85,Electrical Machinery & Electronics,export
Germany,78035282.5,2778284636.34,64798.52,KGM,2019,6,85,Electrical Machinery & Electronics,export
India,54680738.37,1816731441.98,53846.89,KGM,2019,6,85,Electrical Machinery & Electronics,export
"Korea, Republic of",75146624.12,2533486272.37,72810.48,KGM,2019,6,85,Electrical Machinery & Electronics,export
Indonesia,57195481.08,1911629599.87,43976.25,KGM,2019,6,85,Electrical Machinery & Electronics,export
Netherlands,56946365.59,1867747940.22,41477.65,KGM,2019,6,85,Electrical Machinery & Electronics,export
Philippines,39545044.32,1323883290.78,35526.08,KGM,2019,6,85,Electrical Machinery & Electronics,export
United Kingdom,35479863.98,1261630788.34,34369.0,KGM,2019,6,85,Electrical Machinery & Electronics,export
Australia,34166593.09,1070869794.63,28186.18,KGM,2019,6,85,Electrical Machinery & Electronics,export
Taiwan,45633055.48,1483569115.23,35893.83,KGM,2019,6,85,Electrical Machinery & Electronics,export
Mexico,27538109.76,924568775.11,29076.66,KGM,2019,6,85,Electrical Machinery & Electronics,export
United States of America,454116435.21,15142279102.11,441066.13,KGM,2019,7,85,Electrical Machinery & Electronics,export
China,335296411.01,9750706434.03,297980.5,KGM,2019,7,85,Electrical Machinery & Electronics,export
Japan,238961344.68,7839513270.84,271951.46,KGM,2019,7,85,Electrical Machinery & Electronics,export
Hong Kong,239330692.98,7967504016.87,167893.83,KGM,2019,7,85,Electrical Machinery & Electronics,export
Singapore,171954263.43,5770555996.77,156386.37,KGM,2019,7,85,Electrical Machinery & Electronics,export
Vietnam,121214901.25,4201821561.14,104868.12,KGM,2019,7,85,Electrical Machinery & Electronics,export
Malaysia,108912196.81,3638960463.19,85965.77,KGM,2019,7,85,Electrical Machinery & Electronics,export
Germany,78488939.9,2449913810.61,58404.28,KGM,2019,7,85,Electrical Machinery & Electronics,export
India,69293108.59,2400414222.34,56522.33,KGM,2019,7,85,Electrical Machinery & Electronics,export
"Korea, Republic of",79212988.89,2598517150.23,67566.27,KGM,2019,7,85,Electrical Machinery & Electronics,export
Indonesia,62829914.37,2067714966.33,41058.43,KGM,2019,7,85,Electrical Machinery & Electronics,export
Netherlands,40842571.98,1422840020.5,40151.61,KGM,2019,7,85,Electrical Machinery & Electronics,export
Philippines,41959211.04,1401847918.46,36220.63,KGM,2019,7,85,Electrical Machinery & Electronics,export
United Kingdom,35360903.2,1229481869.47,29328.07,KGM,2019,7,85,Electrical Machinery & Electronics,export
Australia,35722246.85,1104488744.54,24690.36,KGM,2019,7,85,Electrical Machinery & Electronics,export
Taiwan,42528527.43,1392122330.72,31005.81,KGM,2019,7,85,Electrical Machinery & Electronics,export
Mexico,24924600.8,818886126.68,26247.44,KGM,2019,7,85,Electrical Machinery & Electronics,export
United States of America,517814988.51,16872443683.53,370819.93,KGM,2019,8,85,Electrical Machinery & Electronics,export
China,347537785.65,11356216754.64,254453.71,KGM,2019,8,85,Electrical Machinery & Electronics,export
Japan,342063171.55,11382782302.23,189862.12,KGM,2019,8,85,Electrical Machinery & Electronics,export
Hong Kong,237274248.78,7765727307.8,239038.03,KGM,2019,8,85,Electrical Machinery & Electronics,export
Singapore,153690513.14,5152390136.33,133780.08,KGM,2019,8,85,Electrical Machinery & Electronics,export
Vietnam,164486139.14,5132185616.52,76922.75,KGM,2019,8,85,Electrical Machinery & Electronics,export
Malaysia,116443754.47,3844326263.36,67479.41,KGM,2019,8,85,Electrical Machinery & Electronics,export
Germany,81684451.45,2674488708.99,63389.57,KGM,2019,8,85,Electrical Machinery & Electronics,export
India,66382245.31,2322876873.06,61901.48,KGM,2019,8,85,Electrical Machinery & Electronics,export
"Korea, Republic of",80543198.12,2689152522.95,60049.29,KGM,2019,8,85,Electrical Machinery & Electronics,export
Indonesia,64920195.28,2178401714.6,53844.46,KGM,2019,8,85,Electrical Machinery & Electronics,export
Netherlands,59367456.99,2060640540.32,38151.96,KGM,2019,8,85,Electrical Machinery & Electronics,export
Philippines,45939544.41,1532039190.73,31820.13,KGM,2019,8,85,Electrical Machinery & Electronics,export
United Kingdom,39789271.75,1303918179.37,30373.34,KGM,2019,8,85,Electrical Machinery & Electronics,export
Australia,29098091.8,949832768.05,25194.84,KGM,2019,8,85,Electrical Machinery & Electronics,export
Taiwan,40459393.99,1399556671.49,30808.0,KGM,2019,8,85,Electrical Machinery & Electronics,export
Mexico,29729458.39,991005370.48,30282.22,KGM,2019,8,85,Electrical Machinery & Electronics,export
United States of America,579608147.62,18551800743.23,409510.65,KGM,2019,9,85,Electrical Machinery & Electronics,export
China,359199722.18,11805598640.83,323529.34,KGM,2019,9,85,Electrical Machinery & Electronics,export
Japan,319932581.88,10510744669.86,252572.28,KGM,2019,9,85,Electrical Machinery & Electronics,export
Hong Kong,261270857.78,8617592640.85,184838.44,KGM,2019,9,85,Electrical Machinery & Electronics,export
Singapore,186432644.36,6203783158.07,144967.96,KGM,2019,9,85,Electrical Machinery & Electronics,export
Vietnam,140765775.23,4648208914.53,107456.18,KGM,2019,9,85,Electrical Machinery & Electronics,export
Malaysia,112719184.27,3679729838.17,85376.92,KGM,2019,9,85,Electrical Machinery & Electronics,export
Germany,91597364.73,2984034199.95,69704.17,KGM,2019,9,85,Electrical Machinery & Electronics,export
India,71087955.58,2228220896.0,57122.85,KGM,2019,9,85,Electrical Machinery & Electronics,export
"Korea, Republic of",81374189.93,2565775666.92,76959.64,KGM,2019,9,85,Electrical Machinery & Electronics,export
Indonesia,58171723.69,1847929568.48,65346.55,KGM,2019,9,85,Electrical Machinery & Electronics,export
Netherlands,59253547.91,1960712342.74,40847.32,KGM,2019,9,85,Electrical Machinery & Electronics,export
Philippines,43176140.84,1322501179.39,36787.94,KGM,2019,9,85,Electrical Machinery & Electronics,export
United Kingdom,40108400.55,1211489847.13,29975.29,KGM,2019,9,85,Electrical Machinery & Electronics,export
Australia,38923111.6,1409899001.28,20918.79,KGM,2019,9,85,Electrical Machinery & Electronics,export
Taiwan,46449170.19,1626052625.48,29283.82,KGM,2019,9,85,Electrical Machinery & Electronics,export
Mexico,28326962.88,858265746.25,22427.82,KGM,2019,9,85,Electrical Machinery & Electronics,export
United States of America,493346003.41,16885861764.71,393318.61,KGM,2019,10,85,Electrical Machinery & Electronics,export
China,402018979.18,13429769616.42,245118.34,KGM,2019,10,85,Electrical Machinery & Electronics,export
Japan,257031978.42,9315640907.48,260296.19,KGM,2019,10,85,Electrical Machinery & Electronics,export
Hong Kong,221945064.42,7566309842.46,189699.84,KGM,2019,10,85,Electrical Machinery & Electronics,export
Singapore,195213500.55,6873540091.49,127737.5,KGM,2019,10,85,Electrical Machinery & Electronics,export
Vietnam,123989691.16,4178821775.43,129688.14,KGM,2019,10,85,Electrical Machinery & Electronics,export
Malaysia,121729122.56,4137018540.51,90244.75,KGM,2019,10,85,Electrical Machinery & Electronics,export
Germany,96391192.74,3176162894.18,81890.96,KGM,2019,10,85,Electrical Machinery & Electronics,export
India,65520692.39,2096581451.49,57054.37,KGM,2019,10,85,Electrical Machinery & Electronics,export
"Korea, Republic of",76123215.93,2583172200.11,77667.55,KGM,2019,10,85,Electrical Machinery & Electronics,export
Indonesia,66633446.14,2260624000.8,56887.35,KGM,2019,10,85,Electrical Machinery & Electronics,export
Netherlands,64082218.47,2018821288.04,32341.36,KGM,2019,10,85,Electrical Machinery & Electronics,export
Philippines,41846976.68,1388038445.41,30056.9,KGM,2019,10,85,Electrical Machinery & Electronics,export
United Kingdom,41147727.42,1413658308.62,40080.11,KGM,2019,10,85,Electrical Machinery & Electronics,export
Australia,34172904.85,1034056033.22,30508.51,KGM,2019,10,85,Electrical Machinery & Electronics,export
Taiwan,45640148.52,1444367112.34,36383.56,KGM,2019,10,85,Electrical Machinery & Electronics,export
