country_eng,value_usd,value_baht,quantity,quantity_unit,year,month,hs_code,hs_description,data_type
China,126726850.23,4261854968.05,78878.35,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Japan,82683351.81,2833413700.65,76871.47,KGM,2019,1,29,Organic Chemicals (Naphtha),import
"Korea, Republic of",85634716.0,2844643032.7,55669.82,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Singapore,63383819.08,1855136719.99,50642.78,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Saudi Arabia,47804440.41,1562502773.56,43876.2,KGM,2019,1,29,Organic Chemicals (Naphtha),import
United States of America,47570385.07,1554588971.71,39601.72,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Germany,38869685.1,1342082969.86,34458.95,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Taiwan,27072768.43,894517324.26,22945.33,KGM,2019,1,29,Organic Chemicals (Naphtha),import
India,23266253.32,745277810.77,23169.8,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Malaysia,21776866.58,703904769.35,19863.73,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Indonesia,17716218.34,573768595.09,15261.64,KGM,2019,1,29,Organic Chemicals (Naphtha),import
United Arab Emirates,16914496.06,499954965.18,10444.39,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Iran,14312755.44,454981798.88,10106.89,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Qatar,11422305.42,363882382.66,9242.88,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Netherlands,9844462.6,354025185.13,7768.11,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Thailand,6997001.69,233349989.95,5976.68,KGM,2019,1,29,Organic Chemicals (Naphtha),import
Belgium,5674857.58,191342785.54,4920.43,KGM,2019,1,29,Organic Chemicals (Naphtha),import
China,111338097.27,3639198939.98,81669.77,KGM,2019,2,29,Organic Chemicals (Naphtha),import
Japan,80179692.11,2638238715.08,61873.29,KGM,2019,2,29,Organic Chemicals (Naphtha),import
"Korea, Republic of",81575435.72,2852757214.87,70532.2,KGM,2019,2,29,Organic Chemicals (Naphtha),import
