country_eng,import_value_usd,import_value_baht,export_value_usd,export_value_baht,trade_value_usd,trade_balance_usd,year,month,data_type
Saudi Arabia,1143710845.46,38853610508.61,181305456.92,6159224277.74,1325016302.38,-962405388.55,2019,1,overview
United Arab Emirates,987221301.89,32231585475.22,143919267.07,4698790584.45,1131140568.96,-843302034.82,2019,1,overview
Kuwait,495588291.11,16005414593.53,23350685.12,754128786.23,518938976.23,-472237605.98,2019,1,overview
Qatar,382581761.28,12357928558.09,21184384.86,684285402.89,403766146.14,-361397376.42,2019,1,overview
Iran,112129267.99,3410145182.81,24843502.36,755556077.49,136972770.35,-87285765.63,2019,1,overview
Iraq,245121029.4,8204536914.66,20217417.23,676704672.68,265338446.63,-224903612.17,2019,1,overview
Bahrain,54405007.01,1914973178.49,19514345.49,686875165.68,73919352.49,-34890661.52,2019,1,overview
Oman,216026337.11,6667194426.72,22118849.64,682651351.77,238145186.75,-193907487.47,2019,1,overview
Israel,35069810.67,1096756061.99,44390447.52,1388245088.04,79460258.19,9320636.84,2019,1,overview
Jordan,37768714.19,1229842221.38,20942875.91,681951545.88,58711590.09,-16825838.28,2019,1,overview
Lebanon,34901660.6,1151048186.6,25260009.6,833068906.92,60161670.21,-9641651.0,2019,1,overview
Turkey,33564047.94,1046148899.88,93790716.18,2923337933.57,127354764.12,60226668.24,2019,1,overview
Egypt,37279333.21,1155947160.57,18550980.58,575223628.8,55830313.79,-18728352.63,2019,1,overview
Yemen,37244126.29,1238629860.49,23299701.18,774879383.58,60543827.47,-13944425.11,2019,1,overview
Malaysia,726548634.1,22364777726.41,572534866.55,17623892510.59,1299083500.65,-154013767.55,2019,1,overview
Singapore,552881978.49,19121801031.94,459100974.87,15878320937.54,1011982953.35,-93781003.62,2019,1,overview
Indonesia,527444591.09,17662076011.1,472426233.16,15819724347.75,999870824.26,-55018357.93,2019,1,overview
Vietnam,355370919.77,12053298300.61,832344691.18,28231063076.49,1187715610.95,476973771.4,2019,1,overview
Philippines,238145591.6,7559020592.35,472781060.19,15006625760.82,710926651.79,234635468.6,2019,1,overview
Myanmar,178798218.49,6161979806.26,225830236.39,7782859180.96,404628454.88,47032017.91,2019,1,overview
Cambodia,35261088.9,1105100069.97,216732402.01,6792501311.84,251993490.91,181471313.11,2019,1,overview
Brunei Darussalam,33157793.9,1161662089.81,23430045.45,820856648.03,56587839.35,-9727748.46,2019,1,overview
China,3645543697.67,122280481921.05,2376621790.03,79717727156.74,6022165487.7,-1268921907.64,2019,1,overview
Japan,2086458923.19,73666719642.7,1810884501.26,63936998412.3,3897343424.45,-275574421.93,2019,1,overview
"Korea, Republic of",584985231.23,17005744337.4,412562880.57,11993360679.07,997548111.8,-172422350.66,2019,1,overview
Taiwan,547086129.51,17808468112.84,258454033.13,8413063609.94,805540162.65,-288632096.38,2019,1,overview
Hong Kong,221614989.67,7240270784.28,616729290.34,20148849450.09,838344280.01,395114300.68,2019,1,overview
India,414856165.64,13367742072.87,574025515.44,18496591515.66,988881681.08,159169349.8,2019,1,overview
Bangladesh,34295085.43,1178828509.99,21116907.6,725853643.82,55411993.03,-13178177.83,2019,1,overview
Pakistan,37631003.26,1270795260.08,21067622.04,711451513.8,58698625.3,-16563381.21,2019,1,overview
Sri Lanka,36951427.48,1180484310.8,23704815.18,757295842.79,60656242.66,-13246612.29,2019,1,overview
Germany,357055243.7,10998989512.4,284131862.01,8752604605.28,641187105.71,-72923381.69,2019,1,overview
United Kingdom,187676430.73,6194761727.04,262027001.59,8648900848.0,449703432.32,74350570.86,2019,1,overview
France,143914177.64,4658362623.4,130059649.96,4209904973.52,273973827.6,-13854527.68,2019,1,overview
Netherlands,142645483.01,4672790921.84,240193240.07,7868267315.88,382838723.08,97547757.07,2019,1,overview
Italy,37851882.51,1259024271.23,25319687.19,842180060.56,63171569.7,-12532195.33,2019,1,overview
Spain,37422147.81,1127224067.77,21868975.19,658733841.06,59291123.0,-15553172.62,2019,1,overview
Belgium,36588892.63,1342624408.63,22106005.17,811176834.9,58694897.8,-14482887.46,2019,1,overview
Switzerland,288819262.69,9515997527.27,22530723.32,742340747.72,311349986.02,-266288539.37,2019,1,overview
Sweden,33238544.42,1134361705.22,24011368.15,819457560.38,57249912.58,-9227176.27,2019,1,overview
Poland,38987027.04,1368608062.08,20399478.08,716107184.32,59386505.12,-18587548.97,2019,1,overview
Russian Federation,195327421.29,7087588976.01,23032868.49,835763374.54,218360289.78,-172294552.81,2019,1,overview
United States of America,810266242.71,26859902215.21,2240353706.23,74266553763.22,3050619948.94,1430087463.52,2019,1,overview
Canada,35189804.75,1164882633.23,128472215.74,4252795775.43,163662020.49,93282410.99,2019,1,overview
Brazil,167752878.87,5304490909.27,114167613.39,3610078536.08,281920492.25,-53585265.48,2019,1,overview
Mexico,41213140.92,1340123900.43,103107371.03,3352732869.54,144320511.95,61894230.11,2019,1,overview
Argentina,39052983.84,1302072950.37,19833678.8,661278451.43,58886662.64,-19219305.03,2019,1,overview
Chile,40500952.08,1347748189.2,19170829.51,637946750.07,59671781.59,-21330122.57,2019,1,overview
South Africa,112286968.59,3497129795.02,140256049.53,4368214904.11,252543018.12,27969080.94,2019,1,overview
Nigeria,32793327.27,1096788473.23,91674468.62,3066096332.69,124467795.89,58881141.35,2019,1,overview
